ds,y
2010-01-01,0.8616517
2010-01-02,0.8057574
2010-01-03,0.85655683
2010-01-04,0.8565625
2010-01-05,0.7394686
2010-01-06,0.5909694
2010-01-07,0.80689985
2010-01-08,1.6347785
2010-01-09,1.6377622
2010-01-10,1.5830144
2010-01-11,1.3768315
2010-01-12,1.0668671
2010-01-13,0.8400367
2010-01-14,0.97664094
2010-01-15,0.9812959
2010-01-16,1.5849952
2010-01-17,1.4275275
2010-01-18,1.1388447
2010-01-19,1.3177096
2010-01-20,1.6891158
2010-01-21,1.8749429
2010-01-22,1.8830739
2010-01-23,4.443373
2010-01-24,4.443373
2010-01-25,4.443373
2010-01-26,1.2890671
2010-01-27,1.2890581
2010-01-28,0.6672912
2010-01-29,0.5931289
2010-01-30,0.79146004
2010-01-31,0.8043496
2010-02-01,0.50810415
2010-02-02,0.42517868
2010-02-03,0.5161803
2010-02-04,0.46426654
2010-02-05,0.38695836
2010-02-06,0.34936172
2010-02-07,0.5730417
2010-02-08,0.73738223
2010-02-09,0.7248036
2010-02-10,0.74835616
2010-02-11,0.70150024
2010-02-12,0.5165723
2010-02-13,0.56180686
2010-02-14,1.0329325
2010-02-15,1.0974021
2010-02-16,1.78762
2010-02-17,1.568195
2010-02-18,0.62415
2010-02-19,0.4044768
2010-02-20,0.5034096
2010-02-21,1.1104255
2010-02-22,0.49536836
2010-02-23,0.9850741
2010-02-24,1.0509533
2010-02-25,3.9733505
2010-02-26,3.4987917
2010-02-27,1.6178135
2010-02-28,1.2979786
2010-03-01,1.3346887
2010-03-02,1.2908111
2010-03-03,1.8389511
2010-03-04,1.256658
2010-03-05,0.6325883
2010-03-06,0.5098851
2010-03-07,0.5464484
2010-03-08,0.5326396
2010-03-09,0.4732892
2010-03-10,0.47150543
2010-03-11,0.643776
2010-03-12,1.4981681
2010-03-13,0.38956165
2010-03-14,0.38956052
2010-03-15,0.36030927
2010-03-16,0.9927294
2010-03-17,1.1247503
2010-03-18,1.1739191
2010-03-19,0.6925337
2010-03-20,0.34849578
2010-03-21,0.33184445
2010-03-22,0.71036935
2010-03-23,0.72260326
2010-03-24,0.55916303
2010-03-25,0.30593836
2010-03-26,0.30285388
2010-03-27,0.3020862
2010-03-28,0.29789937
2010-03-29,0.43225098
2010-03-30,0.4309361
2010-03-31,0.35312712
2010-04-01,0.5014399
2010-04-02,0.29779375
2010-04-03,0.37756312
2010-04-04,1.5587124
2010-04-05,0.65725243
2010-04-06,0.913472
2010-04-07,1.314814
2010-04-08,1.3735449
2010-04-09,1.3454837
2010-04-10,0.6672023
2010-04-11,0.3940044
2010-04-12,0.40312928
2010-04-13,0.32661363
2010-04-14,0.3298166
2010-04-15,0.2716871
2010-04-16,0.2924205
2010-04-17,0.407691
2010-04-18,0.40764192
2010-04-19,0.32674715
2010-04-20,0.25469542
2010-04-21,0.24501482
2010-04-22,0.29479942
2010-04-23,0.3301288
2010-04-24,0.5703523
2010-04-25,0.47873387
2010-04-26,0.26205745
2010-04-27,0.26014078
2010-04-28,0.24401699
2010-04-29,0.2425515
2010-04-30,0.26249522
2010-05-01,0.49078718
2010-05-02,0.50531256
2010-05-03,0.31977943
2010-05-04,0.31977943
2010-05-05,0.1836271
2010-05-06,0.18362813
2010-05-07,0.18466839
2010-05-08,0.20155919
2010-05-09,0.27436325
2010-05-10,0.34370643
2010-05-11,0.40920654
2010-05-12,0.45872673
2010-05-13,0.28689742
2010-05-14,0.22159459
2010-05-15,0.22236897
2010-05-16,0.1984126
2010-05-17,0.30617657
2010-05-18,0.33755732
2010-05-19,0.3388819
2010-05-20,0.37363744
2010-05-21,0.25840205
2010-05-22,0.72912335
2010-05-23,0.7291242
2010-05-24,0.6804074
2010-05-25,0.8720698
2010-05-26,0.748248
2010-05-27,1.0108693
2010-05-28,0.27381206
2010-05-29,0.2633182
2010-05-30,0.25066474
2010-05-31,0.25223532
2010-06-01,0.30940172
2010-06-02,0.3097094
2010-06-03,0.49083576
2010-06-04,0.4908448
2010-06-05,0.42875645
2010-06-06,0.42875645
2010-06-07,0.46267727
2010-06-08,0.61467505
2010-06-09,0.7061018
2010-06-10,0.7087777
2010-06-11,0.70750624
2010-06-12,0.55386615
2010-06-13,0.6069869
2010-06-14,0.54876137
2010-06-15,0.4457823
2010-06-16,0.5140999
2010-06-17,1.5752376
2010-06-18,0.3927029
2010-06-19,0.29633215
2010-06-20,0.29314542
2010-06-21,0.33638367
2010-06-22,0.33576494
2010-06-23,0.303121
2010-06-24,0.25035748
2010-06-25,0.29467598
2010-06-26,0.30511388
2010-06-27,0.30512688
2010-06-28,0.72520965
2010-06-29,0.72520965
2010-06-30,0.72520965
2010-07-01,1.6828066
2010-07-02,1.6828135
2010-07-03,0.9828046
2010-07-04,0.969572
2010-07-05,0.7628738
2010-07-06,0.37459445
2010-07-07,0.3222463
2010-07-08,0.21504642
2010-07-09,0.21504654
2010-07-10,0.3081366
2010-07-11,0.35410458
2010-07-12,0.29249945
2010-07-13,0.16729559
2010-07-14,1.2409669
2010-07-15,1.4028952
2010-07-16,1.4028952
2010-07-17,1.4028952
2010-07-18,0.89307
2010-07-19,0.89307
2010-07-20,0.98819894
2010-07-21,0.5861147
2010-07-22,0.5861147
2010-07-23,0.5265754
2010-07-24,0.45559907
2010-07-25,0.4532273
2010-07-26,0.4533797
2010-07-27,0.14015917
2010-07-28,0.1401968
2010-07-29,0.2916824
2010-07-30,0.7541587
2010-07-31,0.8058581
2010-08-01,0.85945785
2010-08-02,1.0626094
2010-08-03,1.1088222
2010-08-04,1.3534186
2010-08-05,0.5260929
2010-08-06,0.7905293
2010-08-07,0.52045554
2010-08-08,0.5204553
2010-08-09,0.281971
2010-08-10,0.44532162
2010-08-11,0.9248593
2010-08-12,0.81359977
2010-08-13,1.0301137
2010-08-14,1.163683
