ds,y
2000-01-01,0.71422833
2000-02-01,0.74513483
2000-03-01,0.7001885
2000-04-01,0.46028078
2000-05-01,1.0328232
2000-06-01,0.41510385
2000-07-01,0.34843612
2000-08-01,1.1815248
2000-09-01,0.991909
2000-10-01,0.98454666
2000-11-01,0.7108044
2000-12-01,0.88255537
2001-01-01,0.625687
2001-02-01,0.51184213
2001-03-01,0.68925047
2001-04-01,1.4418905
2001-05-01,0.44744745
2001-06-01,0.32287535
2001-07-01,0.36315316
2001-08-01,0.4263361
2001-09-01,0.95482147
2001-10-01,0.96632874
2001-11-01,0.5396061
2001-12-01,0.8179376
2002-01-01,0.64476997
2002-02-01,0.5798963
2002-03-01,0.6625683
2002-04-01,0.49198186
2002-05-01,0.6425198
2002-06-01,0.9168838
2002-07-01,0.53811014
2002-08-01,0.456529
2002-09-01,0.36727187
2002-10-01,0.5641924
2002-11-01,1.1326298
2002-12-01,1.0588819
2003-01-01,1.3407774
2003-02-01,1.4925351
2003-03-01,1.4965256
2003-04-01,0.9113728
2003-05-01,0.39466447
2003-06-01,0.33819002
2003-07-01,0.35813504
2003-08-01,0.3616891
2003-09-01,0.63896585
2003-10-01,0.47198442
2003-11-01,1.1813204
2003-12-01,0.91612303
2004-01-01,1.3254797
2004-02-01,0.83892375
2004-03-01,0.66233075
2004-04-01,0.4686347
2004-05-01,0.61411047
2004-06-01,0.2712752
2004-07-01,0.50024956
2004-08-01,0.8267308
2004-09-01,0.3092125
2004-10-01,1.5070316
2004-11-01,1.0952752
2004-12-01,0.56299776
2005-01-01,0.7503416
2005-02-01,0.77567685
2005-03-01,0.36929
2005-04-01,0.60988206
2005-05-01,0.39192143
2005-06-01,0.5100615
2005-07-01,0.4436796
2005-08-01,0.7881116
2005-09-01,1.1615305
2005-10-01,1.103413
2005-11-01,1.3835009
2005-12-01,0.97644144
2006-01-01,0.74620503
2006-02-01,0.7744416
2006-03-01,0.40761107
2006-04-01,0.5616868
2006-05-01,0.44201386
2006-06-01,0.3456316
2006-07-01,0.43857622
2006-08-01,0.41155168
2006-09-01,1.0430272
2006-10-01,0.5239159
2006-11-01,0.8708223
2006-12-01,0.84477603
2007-01-01,0.6295136
2007-02-01,1.5513645
2007-03-01,0.8793698
2007-04-01,0.8405044
2007-05-01,0.43202052
2007-06-01,0.320482
2007-07-01,0.30084056
2007-08-01,0.48403913
2007-09-01,1.5017098
2007-10-01,0.78846806
2007-11-01,1.5066026
2007-12-01,1.1103055
2008-01-01,1.0475215
2008-02-01,1.022215
2008-03-01,0.7884777
2008-04-01,0.35332206
2008-05-01,0.35803664
2008-06-01,0.64831924
2008-07-01,0.4125313
2008-08-01,0.36524603
2008-09-01,0.9386046
2008-10-01,0.53947103
2008-11-01,1.5615476
2008-12-01,1.6719326
2009-01-01,0.91346085
2009-02-01,0.48363438
2009-03-01,0.7965175
2009-04-01,0.45938793
2009-05-01,0.60352284
2009-06-01,1.2242184
2009-07-01,0.68606293
2009-08-01,0.6888188
2009-09-01,0.7212995
2009-10-01,1.0562932
2009-11-01,1.0395526
2009-12-01,1.7847224
2010-01-01,1.671074
2010-02-01,1.2771257
2010-03-01,0.74425787
2010-04-01,0.6095903
2010-05-01,0.5017757
2010-06-01,0.5732171
2010-07-01,0.7610899
2010-08-01,0.70278466
2010-09-01,0.6532886
2010-10-01,1.9305649
2010-11-01,0.9058949
2010-12-01,0.5284267
2011-01-01,1.5904014
2011-02-01,2.264099
2011-03-01,0.58398634
2011-04-01,0.5852054
2011-05-01,0.46290416
2011-06-01,0.26084983
2011-07-01,0.8619356
2011-08-01,0.60423434
2011-09-01,0.75150067
2011-10-01,1.5010571
2011-11-01,1.3434275
2011-12-01,0.85120565
2012-01-01,0.5274969
2012-02-01,0.31608424
2012-03-01,0.78798133
2012-04-01,0.82705283
2012-05-01,0.35144
2012-06-01,0.8057542
2012-07-01,0.5002304
2012-08-01,0.56089175
2012-09-01,1.2302821
2012-10-01,0.57483935
2012-11-01,1.0527743
2012-12-01,1.2849357
2013-01-01,1.3315152
2013-02-01,0.9661125
2013-03-01,0.7897048
2013-04-01,0.4410797
2013-05-01,0.3503835
2013-06-01,0.44401306
2013-07-01,0.58336014
2013-08-01,0.43700308
2013-09-01,0.83826286
2013-10-01,1.5092555
2013-11-01,0.6873258
2013-12-01,1.1279001
2014-01-01,0.6638116
2014-02-01,1.2635123
2014-03-01,0.6778615
2014-04-01,0.6537277
2014-05-01,0.4508953
2014-06-01,0.35429808
2014-07-01,0.3568461
2014-08-01,0.52624786
2014-09-01,0.8683109
2014-10-01,1.4504658
2014-11-01,1.3282759
2014-12-01,0.92987645
2015-01-01,1.0415785
2015-02-01,1.2867813
2015-03-01,2.8264363
2015-04-01,0.9362701
2015-05-01,0.48192805
2015-06-01,0.37588206
2015-07-01,0.53649294
2015-08-01,0.45557678
2015-09-01,1.4186087
2015-10-01,1.5927424
2015-11-01,1.0831063
2015-12-01,1.0497407
2016-01-01,0.98192894
2016-02-01,0.9574999
2016-03-01,1.1134931
2016-04-01,0.8253535
2016-05-01,0.6664313
2016-06-01,0.4311139
2016-07-01,0.7960451
2016-08-01,0.39309323
2016-09-01,1.4976048
2016-10-01,1.0357698
2016-11-01,1.6619446
2016-12-01,0.71394163
2017-01-01,1.1289405
2017-02-01,1.0119978
2017-03-01,1.2611016
2017-04-01,2.0513446
2017-05-01,0.44318143
2017-06-01,0.58266646
2017-07-01,0.38212642
2017-08-01,0.3078515
2017-09-01,0.67557305
2017-10-01,0.53885365
2017-11-01,0.8131264
2017-12-01,0.63572973
2018-01-01,1.4423085
2018-02-01,1.2105988
2018-03-01,0.81295073
2018-04-01,0.46579763
2018-05-01,0.44899818
2018-06-01,0.84826
2018-07-01,0.71790344
2018-08-01,0.69586647
2018-09-01,1.0444403
2018-10-01,1.2257576
2018-11-01,1.183327
2018-12-01,0.86972946
2019-01-01,0.6249727
2019-02-01,0.8090106
2019-03-01,0.88700974
2019-04-01,0.6245387
2019-05-01,0.75237155
2019-06-01,0.5045108
2019-07-01,0.47799778
2019-08-01,0.71641076
2019-09-01,1.0927368
2019-10-01,0.80265373
2019-11-01,0.5657199
2019-12-01,1.0679717
2020-01-01,0.88955486
2020-02-01,1.1335273
2020-03-01,1.3166507
2020-04-01,0.9500537
2020-05-01,1.1042148
2020-06-01,1.109991
2020-07-01,0.5009005
2020-08-01,0.62944174
2020-09-01,0.73915666
2020-10-01,1.225423
2020-11-01,1.1267985
2020-12-01,0.63899225
2021-01-01,1.0037892
2021-02-01,1.2540774
2021-03-01,0.69630456
2021-04-01,0.44395265
2021-05-01,0.32382208
2021-06-01,0.46108812
2021-07-01,0.3842621
2021-08-01,0.6065674
2021-09-01,0.8240188
2021-10-01,0.7712792
2021-11-01,1.4742533
2021-12-01,1.021748
2022-01-01,1.0666118
